question_id,topic,difficulty,skill,question,answer
135,Fractions & Decimals,easy,decimal to fraction,Convert 0.375 to a fraction in simplest form.,3/8
312,Integers & Expressions,hard,simplifying expressions,Simplify: 5(y - 2) - 3(y + 1).,2y - 13
244,Ratios & Percentages,medium,proportions,A recipe uses 2 cups of flour for 20 cookies. How many cups are needed for 24 cookies?,2.4 cups
55,Geometry,easy,area of rectangles,Find the area of a rectangle with length 16 units and width 12 units.,192 square units
51,Algebra,hard,variables on both sides,Solve: 2x + 2 = 1x + 10.,8
175,Statistics & Probability,hard,compound probability,Two dice are rolled. What is the probability that their sum is 7?,1/6
190,Statistics & Probability,easy,mode,"Find the mode of this data set: [4, 12, 12, 11, 3, 7].",12
323,Integers & Expressions,hard,simplifying expressions,Simplify: 9r + 4 - 3(r - 2).,6r + 10
188,Statistics & Probability,easy,mode,"Find the mode of this data set: [11, 7, 11, 8, 9, 7].",11
170,Statistics & Probability,medium,simple probability,"A spinner has 4 equal sections, and 3 sections are blue. What is the probability of landing on blue?",3/4
59,Geometry,easy,area of rectangles,Find the area of a rectangle with length 13 units and width 8 units.,104 square units
49,Algebra,hard,variables on both sides,Solve: 8x + 7 = 4x + 47.,10
236,Ratios & Percentages,easy,percent of a number,Find 50% of 36.,18
253,Ratios & Percentages,medium,proportions,A recipe uses 5 cups of flour for 50 cookies. How many cups are needed for 24 cookies?,2.4 cups
22,Algebra,easy,writing expressions,Write an algebraic expression for: ten less than three times a number.,3x - 10
161,Fractions & Decimals,hard,ordering rational numbers,"Order from least to greatest: 0.47, 2, 0.41.","0.41, 0.47, 2"
277,Integers & Expressions,medium,integer multiplication,Multiply: 4 × -5.,-20
192,Statistics & Probability,easy,mode,"Find the mode of this data set: [12, 5, 7, 3, 1, 2].",1
294,Integers & Expressions,easy,absolute value,Evaluate: |-7|.,7
258,Ratios & Percentages,hard,tips,A restaurant bill is $103 before a 22% tip. What is the total after tip?,$125.66
309,Integers & Expressions,medium,order of operations,Evaluate: 9^2 - 1.,80
150,Fractions & Decimals,hard,ordering rational numbers,"Order from least to greatest: 0.3, 5/7, 0.84.","0.3, 5/7, 0.84"
131,Fractions & Decimals,easy,decimal to fraction,Convert 0.125 to a fraction in simplest form.,1/8
152,Fractions & Decimals,hard,ordering rational numbers,"Order from least to greatest: 0.2, 1/2, 0.16.","0.16, 0.2, 1/2"
100,Geometry,hard,surface area,"A rectangular prism has length 2, width 8, and height 7. Find its surface area.",172 square units
88,Geometry,medium,area of circles,Estimate the area of a circle with radius 6 inches using π ≈ 3.14.,113.04 square inches
215,Statistics & Probability,hard,outliers,"Identify the possible outlier in this data set and explain why: [29, 30, 14, 11, 115].",115; it is much larger than the other values
122,Fractions & Decimals,hard,fraction word problems,A recipe needs 3/4 cup of sugar. You make 3/4 of the recipe. How much sugar do you need?,9/16 cup
324,Integers & Expressions,hard,simplifying expressions,Simplify: 10s - 2(2s + 1).,6s - 2
21,Algebra,easy,writing expressions,Write an algebraic expression for: four times the sum of a number and 2.,4(x + 2)
189,Statistics & Probability,easy,mode,"Find the mode of this data set: [9, 5, 12, 4, 4, 6].",4
72,Geometry,hard,Pythagorean theorem,A right triangle has legs 8 and 4. Find the hypotenuse length.,8.94
107,Geometry,hard,surface area,"A rectangular prism has length 9, width 7, and height 8. Find its surface area.",382 square units
271,Integers & Expressions,easy,integer addition,Evaluate: -13 + 3.,-10
103,Geometry,hard,surface area,"A rectangular prism has length 7, width 2, and height 6. Find its surface area.",136 square units
325,Algebra,easy,,Solve for x: 3x + 6 = 18.,4.0
326,Geometry,easy,,Find the area of a circle with radius 5.,78.5
